iter	Passed	Remaining
360	6198	1710778
361	6213	1710221
362	6231	1710364
363	6248	1710428
364	6267	1710841
365	6285	1710959
366	6302	1711077
367	6317	1710393
368	6335	1710618
369	6350	1710019
370	6368	1710183
371	6383	1709575
372	6401	1709886
373	6419	1709935
374	6436	1709907
375	6454	1710071
376	6471	1710228
377	6489	1710380
378	6507	1710525
379	6524	1710554
380	6542	1710603
381	6558	1710321
382	6577	1710886
383	6595	1710942
384	6609	1710168
385	6627	1710443
386	6642	1709889
387	6661	1710217
388	6678	1710258
389	6696	1710363
390	6712	1709915
391	6730	1710263
392	6745	1709742
393	6763	1709737
394	6778	1709323
395	6796	1709552
396	6814	1709702
397	6830	1709397
398	6849	1709837
399	6867	1709887
400	6884	1709956
401	6900	1709762
402	6919	1710111
403	6936	1710141
404	6954	1710091
405	6968	1709515
406	6986	1709682
407	7002	1709270
408	7020	1709532
409	7038	1709667
410	7056	1709838
411	7071	1709354
412	7090	1709855
413	7108	1710033
414	7126	1710153
415	7145	1710534
416	7163	1710808
417	7181	1710977
418	7196	1710363
419	7215	1710685
420	7232	1710731
421	7250	1710779
422	7267	1710777
423	7284	1710813
424	7302	1710934
425	7319	1710884
426	7335	1710564
427	7353	1710744
428	7370	1710713
429	7388	1710974
430	7404	1710465
431	7422	1710715
432	7440	1710854
433	7454	1710239
434	7471	1710169
435	7486	1709650
436	7505	1710023
437	7523	1710095
438	7540	1710187
439	7555	1709590
440	7573	1709725
441	7589	1709390
442	7607	1709624
443	7624	1709556
444	7639	1709037
445	7657	1709359
446	7676	1709637
447	7694	1709720
448	7711	1709819
449	7729	1709891
450	7747	1710072
451	7765	1710197
452	7780	1709834
453	7799	1710225
454	7815	1709943
455	7834	1710264
456	7852	1710455
457	7870	1710641
458	7888	1710724
459	7897	1708965
460	7912	1708465
461	7930	1708526
462	7944	1707982
463	7962	1708178
464	7979	1707994
465	7994	1707605
466	8017	1708886
467	8036	1709093
468	8053	1709121
469	8068	1708729
470	8087	1708955
471	8103	1708644
472	8120	1708759
473	8137	1708572
474	8155	1708842
475	8170	1708415
476	8189	1708658
477	8206	1708706
478	8224	1708784
479	8242	1709047
480	8259	1708942
481	8277	1709082
482	8292	1708638
483	8310	1708648
484	8326	1708414
485	8344	1708616
486	8358	1707919
487	8377	1708296
488	8394	1708373
489	8412	1708354
490	8430	1708507
491	8447	1708509
492	8464	1708518
493	8483	1708923
494	8502	1709148
495	8520	1709363
496	8539	1709605
497	8557	1709834
498	8575	1709921
499	8592	1709889
500	8608	1709722
501	8627	1710050
502	8644	1709910
503	8658	1709318
504	8676	1709448
505	8693	1709447
506	8711	1709536
507	8729	1709631
508	8746	1709567
509	8762	1709416
510	8781	1709741
511	8799	1709811
512	8816	1709858
513	8834	1709867
514	8851	1709821
515	8866	1709436
516	8884	1709562
517	8899	1709203
518	8918	1709462
519	8936	1709531
520	8953	1709590
521	8968	1709050
522	8986	1709241
523	9001	1708813
524	9018	1708856
525	9033	1708312
526	9050	1708399
