iter	RMSE
0	15.23994592
1	15.18208704
2	15.12468193
3	15.06780739
4	15.0109049
5	14.95415892
6	14.89780072
7	14.84190298
8	14.78603112
9	14.73040105
10	14.67432623
11	14.61887279
12	14.56380293
13	14.50895264
14	14.45462546
15	14.40055959
16	14.3464559
17	14.29246397
18	14.2389049
19	14.18542726
20	14.13197575
21	14.07860262
22	14.02528861
23	13.97259327
24	13.92016034
25	13.86828555
26	13.8165492
27	13.76521474
28	13.71358548
29	13.66235799
30	13.61145017
31	13.56050265
32	13.50948931
33	13.45869286
34	13.40838795
35	13.35862177
36	13.30837643
37	13.25868165
38	13.21041838
39	13.16160703
40	13.11223349
41	13.06351926
42	13.01509127
43	12.96644675
44	12.91795267
45	12.86939265
46	12.82147694
47	12.77317269
48	12.72547105
49	12.67850855
50	12.63112824
51	12.58432217
52	12.53740826
53	12.49066327
54	12.44392434
55	12.3976857
56	12.35167577
57	12.30541434
58	12.25947035
59	12.21401579
60	12.16904328
61	12.12386379
62	12.07874038
63	12.03380821
64	11.98970935
65	11.9453143
66	11.90120781
67	11.85765832
68	11.81366933
69	11.77075914
70	11.72716301
71	11.68392123
72	11.64121863
73	11.59851756
74	11.55592658
75	11.51339405
76	11.47111436
77	11.42882294
78	11.38706285
79	11.34506213
80	11.30336914
81	11.26198385
82	11.22101413
83	11.17994761
84	11.13924092
85	11.09870527
86	11.05851109
87	11.01739259
88	10.97737546
89	10.93735419
90	10.89735663
91	10.85759907
92	10.81792462
93	10.7786341
94	10.73956105
95	10.69981054
96	10.66053407
97	10.62253196
98	10.58403682
99	10.54563645
100	10.50734212
101	10.46891197
102	10.43167198
103	10.39408633
104	10.35651971
105	10.31901836
106	10.28217757
107	10.24471681
108	10.20767938
109	10.17059837
110	10.13311847
111	10.09654595
112	10.06014453
113	10.02384543
114	9.98724797
115	9.951290085
116	9.914571043
117	9.879072443
118	9.843741849
119	9.807826536
120	9.772364317
121	9.736953976
122	9.702377893
123	9.667704205
124	9.633336278
125	9.599516617
126	9.564693144
127	9.53076635
128	9.497202884
129	9.463326833
130	9.42938611
131	9.395525709
132	9.36200625
133	9.328757981
134	9.295873795
135	9.262955784
136	9.22893545
137	9.196416358
138	9.163959964
139	9.13136561
140	9.099014192
141	9.066966182
142	9.035260025
143	9.003278681
144	8.971701128
145	8.939924716
146	8.908596259
147	8.877274964
148	8.846478802
149	8.815590005
150	8.785342725
151	8.754689254
152	8.724056672
153	8.693611451
154	8.663759352
155	8.634230274
156	8.604249721
157	8.573907002
158	8.544168056
159	8.514503618
160	8.484726933
161	8.455429241
162	8.425982618
163	8.397115784
164	8.367552836
165	8.338844706
166	8.308710297
167	8.280445586
168	8.251859629
169	8.223201086
170	8.194258424
